filepath,filename,time
/home/ICT2000/jondras/datasets/ccdb/sessions/P1_P2_1402/P1_P2_1402_C1/P1_P2_1402_C1.mov,P1_P2_1402_C1.mov,457
/home/ICT2000/jondras/datasets/ccdb/sessions/P1_P2_1402/P1_P2_1402_C2/P1_P2_1402_C2.mov,P1_P2_1402_C2.mov,454
/home/ICT2000/jondras/datasets/ccdb/sessions/P1_P3_1502/P1_P3_1502_C1/P1_P3_1502_C1.mov,P1_P3_1502_C1.mov,487
/home/ICT2000/jondras/datasets/ccdb/sessions/P1_P3_1502/P1_P3_1502_C2/P1_P3_1502_C2.mov,P1_P3_1502_C2.mov,497
/home/ICT2000/jondras/datasets/ccdb/sessions/P3_P4_1502/P3_P4_1502_C1/P3_P4_1502_C1.mov,P3_P4_1502_C1.mov,471
/home/ICT2000/jondras/datasets/ccdb/sessions/P3_P4_1502/P3_P4_1502_C2/P3_P4_1502_C2.mov,P3_P4_1502_C2.mov,464
/home/ICT2000/jondras/datasets/ccdb/sessions/P5_P2_1003/P5_P2_1003_C1/P5_P2_1003_C1.mov,P5_P2_1003_C1.mov,459
/home/ICT2000/jondras/datasets/ccdb/sessions/P5_P2_1003/P5_P2_1003_C2/P5_P2_1003_C2.mov,P5_P2_1003_C2.mov,466
/home/ICT2000/jondras/datasets/ccdb/sessions/P5_P3_2202/P5_P3_2202_C1/P5_P3_2202_C1.mov,P5_P3_2202_C1.mov,478
/home/ICT2000/jondras/datasets/ccdb/sessions/P5_P3_2202/P5_P3_2202_C2/P5_P3_2202_C2.mov,P5_P3_2202_C2.mov,497
/home/ICT2000/jondras/datasets/ccdb/sessions/P6_P2_1602/P6_P2_1602_C1/P6_P2_1602_C1.mov,P6_P2_1602_C1.mov,471
/home/ICT2000/jondras/datasets/ccdb/sessions/P6_P2_1602/P6_P2_1602_C2/P6_P2_1602_C2.mov,P6_P2_1602_C2.mov,466
/home/ICT2000/jondras/datasets/ccdb/sessions/P6_P3_1602/P6_P3_1602_C1/P6_P3_1602_C1.mov,P6_P3_1602_C1.mov,441
/home/ICT2000/jondras/datasets/ccdb/sessions/P6_P3_1602/P6_P3_1602_C2/P6_P3_1602_C2.mov,P6_P3_1602_C2.mov,431
/home/ICT2000/jondras/datasets/ccdb/sessions/P6_P4_1602/P6_P4_1602_C1/P6_P4_1602_C1.mov,P6_P4_1602_C1.mov,441
/home/ICT2000/jondras/datasets/ccdb/sessions/P6_P4_1602/P6_P4_1602_C2/P6_P4_1602_C2.mov,P6_P4_1602_C2.mov,443
/home/ICT2000/jondras/datasets/ccdb/sessions/P19-P20-part1/P19-P20-part1-C1.mp4,P19-P20-part1-C1.mp4,205
