filepath,filename,time
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S001_P001_VC1_003857_004977/SAH_C1_S001_P001_VC1_003857_004977.avi,SAH_C1_S001_P001_VC1_003857_004977.avi,50
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S005_P010_VC1_000001_000801/SAH_C1_S005_P010_VC1_000001_000801.avi,SAH_C1_S005_P010_VC1_000001_000801.avi,37
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S008_P016_VC1_005601_006984/SAH_C1_S008_P016_VC1_005601_006984.avi,SAH_C1_S008_P016_VC1_005601_006984.avi,62
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S009_P017_VC1_004001_006201/SAH_C1_S009_P017_VC1_004001_006201.avi,SAH_C1_S009_P017_VC1_004001_006201.avi,95
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S009_P018_VC1_004321_005367/SAH_C1_S009_P018_VC1_004321_005367.avi,SAH_C1_S009_P018_VC1_004321_005367.avi,49
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S013_P025_VC1_000997_002939/SAH_C1_S013_P025_VC1_000997_002939.avi,SAH_C1_S013_P025_VC1_000997_002939.avi,81
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S013_P025_VC1_006901_008783/SAH_C1_S013_P025_VC1_006901_008783.avi,SAH_C1_S013_P025_VC1_006901_008783.avi,80
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S014_P028_VC1_000588_001854/SAH_C1_S014_P028_VC1_000588_001854.avi,SAH_C1_S014_P028_VC1_000588_001854.avi,56
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S018_P036_VC1_001394_002328/SAH_C1_S018_P036_VC1_001394_002328.avi,SAH_C1_S018_P036_VC1_001394_002328.avi,39
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S022_P044_VC1_007329_008693/SAH_C1_S022_P044_VC1_007329_008693.avi,SAH_C1_S022_P044_VC1_007329_008693.avi,56
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S024_P048_VC1_000845_002039/SAH_C1_S024_P048_VC1_000845_002039.avi,SAH_C1_S024_P048_VC1_000845_002039.avi,49
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S027_P053_VC1_006932_008715/SAH_C1_S027_P053_VC1_006932_008715.avi,SAH_C1_S027_P053_VC1_006932_008715.avi,74
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S027_P054_VC1_000920_002082/SAH_C1_S027_P054_VC1_000920_002082.avi,SAH_C1_S027_P054_VC1_000920_002082.avi,48
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S028_P055_VC1_003774_004919/SAH_C1_S028_P055_VC1_003774_004919.avi,SAH_C1_S028_P055_VC1_003774_004919.avi,48
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S028_P056_VC1_001001_001771/SAH_C1_S028_P056_VC1_001001_001771.avi,SAH_C1_S028_P056_VC1_001001_001771.avi,32
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S029_P057_VC1_003201_004052/SAH_C1_S029_P057_VC1_003201_004052.avi,SAH_C1_S029_P057_VC1_003201_004052.avi,35
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S029_P058_VC1_006573_007472/SAH_C1_S029_P058_VC1_006573_007472.avi,SAH_C1_S029_P058_VC1_006573_007472.avi,37
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S192_P384_VC1_006367_008663/SAH_C1_S192_P384_VC1_006367_008663.avi,SAH_C1_S192_P384_VC1_006367_008663.avi,96
/home/ICT2000/jondras/datasets/sewa/sessions/SAH_C1_S194_P388_VC1_003531_004419/SAH_C1_S194_P388_VC1_003531_004419.avi,SAH_C1_S194_P388_VC1_003531_004419.avi,37
